epoch,accuracy,loss,lr,top_3_accuracy,val_accuracy,val_loss,val_top_3_accuracy
0,0.6718367338180542,2.4105663299560547,0.001,0.8318367600440979,0.9665714502334595,0.8204908967018127,0.9970476031303406
1,0.9295714497566223,0.8413323760032654,0.001,0.9879999756813049,0.9860000014305115,0.6704193353652954,0.9993333220481873
2,0.9492449164390564,0.7701915502548218,0.001,0.9921428561210632,0.9828571677207947,0.6384364366531372,0.9989523887634277
3,0.9567754864692688,0.7311141490936279,0.001,0.9944897890090942,0.9909523725509644,0.644273042678833,0.9995238184928894
4,0.9633469581604004,0.7010195851325989,0.001,0.9947142601013184,0.9897142648696899,0.5863757729530334,0.9998095035552979
5,0.9670612215995789,0.6583630442619324,0.001,0.9959796071052551,0.9922857284545898,0.5628007650375366,0.9998095035552979
6,0.9695918560028076,0.6333223581314087,0.001,0.9965918660163879,0.9924761652946472,0.6062170267105103,0.9997143149375916
7,0.9712653160095215,0.6276966333389282,0.001,0.9967346787452698,0.9943809509277344,0.5712325572967529,0.9997143149375916
8,0.9734081625938416,0.5972793102264404,0.001,0.9968979358673096,0.9953333139419556,0.5079246163368225,1.0
9,0.9750204086303711,0.5752540230751038,0.001,0.9973673224449158,0.9942857027053833,0.4774433672428131,0.9999047517776489
10,0.9759591817855835,0.5473034381866455,0.001,0.9976122379302979,0.9956190586090088,0.4744628965854645,0.9998095035552979
11,0.9778367280960083,0.5303965210914612,0.001,0.9975306391716003,0.994857132434845,0.44811922311782837,1.0
12,0.9789795875549316,0.513270378112793,0.001,0.9983265399932861,0.9911428689956665,0.4836522936820984,0.9996190667152405
13,0.9807959198951721,0.49476754665374756,0.001,0.9982448816299438,0.99657142162323,0.440494179725647,0.9999047517776489
14,0.9793469309806824,0.49858367443084717,0.001,0.998285710811615,0.9952380657196045,0.4387132227420807,0.9996190667152405
15,0.9816122651100159,0.4741230905056,0.001,0.9982448816299438,0.9943809509277344,0.4088002145290375,0.9996190667152405
16,0.982285737991333,0.46028751134872437,0.001,0.9985510110855103,0.9963809251785278,0.4115746319293976,0.9999047517776489
17,0.9827755093574524,0.44766783714294434,0.001,0.9984489679336548,0.99657142162323,0.4293275773525238,0.9997143149375916
18,0.9832040667533875,0.4418671131134033,0.001,0.9986122250556946,0.9970476031303406,0.3823474943637848,1.0
19,0.9830816388130188,0.42554375529289246,0.001,0.998734712600708,0.99657142162323,0.3760853707790375,1.0
20,0.9841020703315735,0.4126792550086975,0.001,0.998938798904419,0.9968571662902832,0.336022287607193,0.9999047517776489
21,0.9838367104530334,0.4106045961380005,0.001,0.9988571405410767,0.9954285621643066,0.35883039236068726,1.0
22,0.9854081869125366,0.392633855342865,0.001,0.998918354511261,0.9959999918937683,0.3586427569389343,0.9998095035552979
23,0.9864693880081177,0.38070255517959595,0.001,0.9991836547851562,0.99657142162323,0.3613360822200775,1.0
24,0.9867346882820129,0.3700854480266571,0.001,0.9991224408149719,0.99657142162323,0.3368798792362213,0.9999047517776489
25,0.9866734743118286,0.3693240284919739,0.001,0.9991836547851562,0.9962857365608215,0.31873178482055664,0.9999047517776489
26,0.9865714311599731,0.36144861578941345,0.001,0.9990203976631165,0.9959999918937683,0.35235121846199036,0.9998095035552979
27,0.9866734743118286,0.35643330216407776,0.001,0.9990816116333008,0.9955238103866577,0.3386673927307129,0.9998095035552979
28,0.9875714182853699,0.3469935953617096,0.001,0.9991428852081299,0.9974285960197449,0.3347229063510895,1.0
